Product Id;Product Handle;Product Title;Product Subtitle;Product Description;Product Status;Product Thumbnail;Product Weight;Product Length;Product Width;Product Height;Product HS Code;Product Origin Country;Product MID Code;Product Material;Product Collection Title;Product Collection Handle;Product Type;Product Tags;Product Discountable;Product External Id;Product Profile Name;Product Profile Type;Variant Id;Variant Title;Variant SKU;Variant Barcode;Variant Inventory Quantity;Variant Allow Backorder;Variant Manage Inventory;Variant Weight;Variant Length;Variant Width;Variant Height;Variant HS Code;Variant Origin Country;Variant MID Code;Variant Material;Price EUR;Price USD;Price INR;Option 1 Name;Option 1 Value;Image 1 Url;Image 2 Url
;gadwal-saree;Gadwal Saree;;A traditional Gadwal saree from Telangana.;published;http://localhost:9000/uploads/1720529251199-3407fc40-4112-4e43-8ee4-9ea6f266da49.jpg;400;;;;;;;;;;Saree;;true;;;;;One Size;;;45;false;true;;;;;;;;;2700;2200;2600;Size;Standard;http://localhost:9000/uploads/1720529246312-3407fc40-4112-4e43-8ee4-9ea6f266da49.jpg;
;kalamkari-saree;Kalamkari Saree;;A beautifully hand-painted Kalamkari saree.;published;http://localhost:9000/uploads/1720529276141-88c2e763-ff99-48f6-8bc1-e2eb04036449.jpg;420;;;;;;;;;;Saree;;true;;;;;One Size;;;50;false;true;;;;;;;;;3900;3000;3600;Size;Standard;http://localhost:9000/uploads/1720529264218-88c2e763-ff99-48f6-8bc1-e2eb04036449.jpg;
;venkatagiri-saree;Venkatagiri Saree;;A soft and elegant Venkatagiri saree.;published;http://localhost:9000/uploads/1720529185258-faf49a21-a534-497e-8895-66934cf641fd.jpg;350;;;;;;;;;;Saree;;true;;;;;One Size;;;60;false;true;;;;;;;;;2000;1600;1900;Size;Standard;http://localhost:9000/uploads/1720529192611-faf49a21-a534-497e-8895-66934cf641fd.jpg;
;narayanpet-saree;Narayanpet Saree;;A traditional Narayanpet saree.;published;http://localhost:9000/uploads/1720529307661-14a40cdb-cd3d-4fe2-97aa-752ee3757537.jpg;380;;;;;;;;;;Saree;;true;;;;;One Size;;;70;false;true;;;;;;;;;2300;1900;2200;Size;Standard;http://localhost:9000/uploads/1720529300909-14a40cdb-cd3d-4fe2-97aa-752ee3757537.jpg;
;maheshwari-saree;Maheshwari Saree;;A classic Maheshwari saree from Madhya Pradesh.;published;http://localhost:9000/uploads/1720529330742-5333e4b2-7a93-4667-bab1-40adf16b433b.jpg;400;;;;;;;;;;Saree;;true;;;;;One Size;;;30;false;true;;;;;;;;;2800;2300;2700;Size;Standard;http://localhost:9000/uploads/1720529325450-5333e4b2-7a93-4667-bab1-40adf16b433b.jpg;
;ilkal-saree;Ilkal Saree;;A rich Ilkal saree from Karnataka.;published;http://localhost:9000/uploads/1720529356067-30a03f8a-f497-4558-9db0-71d657760b5e.jpg;380;;;;;;;;;;Saree;;true;;;;;One Size;;;45;false;true;;;;;;;;;2100;1700;2000;Size;Standard;http://localhost:9000/uploads/1720529351064-30a03f8a-f497-4558-9db0-71d657760b5e.jpg;
;jamdani-saree;Jamdani Saree;;A delicate Jamdani saree from West Bengal.;published;http://localhost:9000/uploads/1720529376318-2e96be34-f9ad-4e07-a8a3-bc850d40b18d.jpg;300;;;;;;;;;;Saree;;true;;;;;One Size;;;75;false;true;;;;;;;;;1900;1500;1800;Size;Standard;http://localhost:9000/uploads/1720529371935-2e96be34-f9ad-4e07-a8a3-bc850d40b18d.jpg;
;dhakai-saree;Dhakai Saree;;A traditional Dhakai saree from Bangladesh.;published;http://localhost:9000/uploads/1720529395513-a1958d23-6f2f-4021-a39b-40c1801c19b6.jpg;340;;;;;;;;;;Saree;;true;;;;;One Size;;;65;false;true;;;;;;;;;1600;1200;1500;Size;Standard;http://localhost:9000/uploads/1720529405581-a1958d23-6f2f-4021-a39b-40c1801c19b6.jpg;
;tant-tangail-saree;Tant Tangail Saree;;A classic Tant Tangail saree.;published;http://localhost:9000/uploads/1720529427882-c2d1cfb1-76e7-481e-985c-ea8cc24250e0.jpg;350;;;;;;;;;;Saree;;true;;;;;One Size;;;60;false;true;;;;;;;;;2200;1800;2100;Size;Standard;http://localhost:9000/uploads/1720529422671-c2d1cfb1-76e7-481e-985c-ea8cc24250e0.jpg;
;kota-silk-saree;Kota Silk Saree;;A luxurious Kota Silk saree.;published;http://localhost:9000/uploads/1720529447410-bfe99ffe-6dcb-4522-a8a1-0413ad0f7b22.jpg;420;;;;;;;;;;Saree;;true;;;;;One Size;;;50;false;true;;;;;;;;;4000;3200;3800;Size;Standard;http://localhost:9000/uploads/1720529442140-bfe99ffe-6dcb-4522-a8a1-0413ad0f7b22.jpg;
;bandhani-saree;Bandhani Saree;;A traditional Bandhani saree from Gujarat.;published;http://localhost:9000/uploads/1720529478778-6f5011ed-a4dc-4ffe-843f-ff80f18ca05a.jpg;460;;;;;;;;;;Saree;;true;;;;;One Size;;;35;false;true;;;;;;;;;2500;2000;2400;Size;Standard;http://localhost:9000/uploads/1720529463407-6f5011ed-a4dc-4ffe-843f-ff80f18ca05a.jpg;
;gharchola-saree;Gharchola Saree;;A rich Gharchola saree from Gujarat.;published;http://localhost:9000/uploads/1720529497963-5716fe72-680c-45d9-aab4-940c22c992c9.jpg;340;;;;;;;;;;Saree;;true;;;;;One Size;;;65;false;true;;;;;;;;;3500;2800;3300;Size;Standard;http://localhost:9000/uploads/1720529493907-5716fe72-680c-45d9-aab4-940c22c992c9.jpg;
;rajkot-patola-saree;Rajkot Patola Saree;;A beautiful Rajkot Patola saree.;published;http://localhost:9000/uploads/1720529526598-30a03f8a-f497-4558-9db0-71d657760b5e.jpg;400;;;;;;;;;;Saree;;true;;;;;One Size;;;45;false;true;;;;;;;;;3200;2500;3000;Size;Standard;http://localhost:9000/uploads/1720529515168-30a03f8a-f497-4558-9db0-71d657760b5e.jpg;
;chikankari-saree;Chikankari Saree;;A delicate Chikankari saree from Lucknow.;published;http://localhost:9000/uploads/1720529119838-38fa7a6b-0411-4f19-bbf3-25490c5d45a8.jpg;380;;;;;;;;;;Saree;;true;;;;;One Size;;;55;false;true;;;;;;;;;2700;2200;2600;Size;Standard;http://localhost:9000/uploads/1720529127477-bff6c892-55e8-473e-b162-c6a90dbfde7a.jpg;
;cotton-silk-saree;Cotton Silk Saree;;A soft Cotton Silk saree.;published;http://localhost:9000/uploads/1720529551710-14a40cdb-cd3d-4fe2-97aa-752ee3757537.jpg;420;;;;;;;;;;Saree;;true;;;;;One Size;;;45;false;true;;;;;;;;;2700;2200;2600;Size;Standard;http://localhost:9000/uploads/1720529543709-14a40cdb-cd3d-4fe2-97aa-752ee3757537.jpg;
;kathakali-saree;Kathakali Saree;;A traditional Kathakali saree.;published;http://localhost:9000/uploads/1720529645057-efda9652-265d-486e-be1e-a143409ef99a.jpg;460;;;;;;;;;;Saree;;true;;;;;One Size;;;35;false;true;;;;;;;;;3200;2500;3000;Size;Standard;http://localhost:9000/uploads/1720529640438-efda9652-265d-486e-be1e-a143409ef99a.jpg;
;kasuti-saree;Kasuti Saree;;A hand-embroidered Kasuti saree.;published;http://localhost:9000/uploads/1720529670453-0f56d504-a55d-41f2-a739-c50538bcee13.jpg;340;;;;;;;;;;Saree;;true;;;;;One Size;;;65;false;true;;;;;;;;;2200;1800;2100;Size;Standard;http://localhost:9000/uploads/1720529665541-0f56d504-a55d-41f2-a739-c50538bcee13.jpg;
;phulkari-saree;Phulkari Saree;;A vibrant Phulkari saree.;published;http://localhost:9000/uploads/1720528417894-92f02670-5910-47dc-938f-906f8ec7e01b.jpg;300;;;;;;;;;;Saree;;true;;;;;One Size;;;75;false;true;;;;;;;;;1600;1200;1500;Size;Standard;http://localhost:9000/uploads/1720528409911-92f02670-5910-47dc-938f-906f8ec7e01b.jpg;
;batik-saree;Batik Saree;;A unique Batik saree.;published;http://localhost:9000/uploads/1720528460170-6a3e3178-47dd-495b-80c3-550be4fed3b5.jpg;500;;;;;;;;;;Saree;;true;;;;;One Size;;;25;false;true;;;;;;;;;2500;2000;2400;Size;Standard;http://localhost:9000/uploads/1720528452954-6a3e3178-47dd-495b-80c3-550be4fed3b5.jpg;
;kalakshetra-saree;Kalakshetra Saree;;An artistic Kalakshetra saree.;published;http://localhost:9000/uploads/1720528592649-8e810cc1-83ad-4f71-8ab1-130d1c4ee7cb.jpg;400;;;;;;;;;;Saree;;true;;;;;One Size;;;30;false;true;;;;;;;;;3200;2500;3000;Size;Standard;http://localhost:9000/uploads/1720528606991-8e810cc1-83ad-4f71-8ab1-130d1c4ee7cb.jpg;
;bhagalpuri-silk-saree;Bhagalpuri Silk Saree;;A rich Bhagalpuri Silk saree.;published;http://localhost:9000/uploads/1720528649761-96831b71-e457-4896-be8d-3f8951816567.jpg;380;;;;;;;;;;Saree;;true;;;;;One Size;;;45;false;true;;;;;;;;;3500;2800;3300;Size;Standard;http://localhost:9000/uploads/1720528636863-96831b71-e457-4896-be8d-3f8951816567.jpg;
;tant-saree;Tant Saree;;A classic Tant saree from West Bengal.;published;http://localhost:9000/uploads/1720516360755-c27e581e-15c8-4f37-9f8a-e21eaf96b8cc.jpg;350;;;;;;;;;;Saree;;true;;;;;One Size;;;70;false;true;;;;;;;;;;8000;9600;Size;Standard;http://localhost:9000/uploads/1720516371180-c27e581e-15c8-4f37-9f8a-e21eaf96b8cc.jpg;
;muga-silk-saree;Muga Silk Saree;;An exquisite Muga Silk saree from Assam.;published;http://localhost:9000/uploads/1720516207721-18a57e86-15b4-4478-9868-562254a4b1b3.jpg;400;;;;;;;;;;Saree;;true;;;;;One Size;;;30;false;true;;;;;;;;;1100;25000;;Size;Standard;http://localhost:9000/uploads/1720516216433-18a57e86-15b4-4478-9868-562254a4b1b3.jpg;
;banarasi-saree;Banarasi Saree;;A luxurious Banarasi saree from Varanasi.;published;http://localhost:9000/uploads/1720516089332-e9299056-e13b-41e5-9826-1484dc6979c0.jpg;500;;;;;;;;;;Saree;;true;;;;;One Size;;;50;false;true;;;;;;;;;;15000;18000;Size;Standard;http://localhost:9000/uploads/1720516116991-e9299056-e13b-41e5-9826-1484dc6979c0.jpg;
;kanjeevaram-saree;Kanjeevaram Saree;;A beautiful Kanjeevaram saree from Tamil Nadu.;published;http://localhost:9000/uploads/1720516163184-379ff5a2-ed2a-4781-830f-cb23e8658bd1.jpg;600;;;;;;;;;;Saree;;true;;;;;One Size;;;40;false;true;;;;;;;;;;20000;24000;Size;Standard;http://localhost:9000/uploads/1720516171607-379ff5a2-ed2a-4781-830f-cb23e8658bd1.jpg;
;pochampally-saree;Pochampally Saree;;A traditional Pochampally saree from Telangana.;published;http://localhost:9000/uploads/1720516270464-1ccbb5a5-f673-46b8-a982-70ade2c93160.jpg;450;;;;;;;;;;Saree;;true;;;;;One Size;;;60;false;true;;;;;;;;;;12000;14400;Size;Standard;http://localhost:9000/uploads/1720516281588-1ccbb5a5-f673-46b8-a982-70ade2c93160.jpg;
